"depths","ACERX","ALNUSX","AMBROSIA","ASTERX","BETULA","PINUSX","POLYPOD","QUERCUS","SPHAGNUM","TSUGAX","POACEAE"
0,3,6,14,8,21,13,2,10,3,3,4
10,3,4,13,4,56,12,12,0,45,25,3
20,5,6,3,1,46,65,8,2,23,6,1
