"depths","ALNUSX","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,6,60,10,4,15,10,18,15.5,36,96,0
10,5,38,12,6,20,10,24,15.5,23,74,0
20,6,37,27,6,26,16,26,28.5,35,104,0
30,5,27,20,9,24,7,35,16,40,108,0
40,9,25,13,4,21,15,26,31,30,119,0
50,6,25,18,5,16,13,15,35,32,101,0
60,11,16,23,9,13,12,13,34,40,100,0
70,9,15,38,14,21,20,20,34,56,63,0
80,6,16,27,9,11,26,14,43.5,59,65,1
90,15,25,48,8,30,37,29,77.5,80,129,0
100,11,30,42,15,20,22,20,37,62,62,0
110,13,12,50,14,27,25,26,43,78,75,0
120,8,12,22,11,27,12,23,33,62,67,0
130,5,16,32,11,7,20,8,36.5,60,65,0
140,7,24,25,10,15,24,8,33.5,75,78,0
150,15,19,23,11,13,22,18,40.5,79,90,0
