"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,6,134,9,11,10,13,58,61,211,18,1
10,12,184,12,32,13,12,47,65,174,25,2
30,13,93,16,22,18,21,67,54,168,15,2
40,17,45,20,30,16,21,95,34,153,15,0
50,10,22,16,32,13,26,95,21,129,15,1
60,24,12,26,24,22,27,94,22,128,17,0
70,11,23,13,33,13,25,96,27,145,14,0
80,17,18,22,34,18,31,87,25,135,9,0
90,20,17,15,34,17,14,90,19,139,6,0
100,16,14,14,20,23,21,79,14,151,5,0
