"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,84,8,3,11,25,7,4,27,58,57,1
10,132,15,2,13,32,9,2,20,48,44,1
20,196,13,10,2,34,18,8,18,70,59,0
30,52,18,16,12,19,22,8,29,57,98,1
40,12,20,12,22,5,39,17,36,59,80,0
50,20,27,14,23,5,26,12,33,47,104,0
60,31,27,16,15,7,31,9,36,44,103,0
70,12,41,11,17,3,37,14,43,68,93,0
80,18,46,11,25,4,25,13,27,61,87,1
90,26,39,14,15,13,31,18,35,71,77,1
100,24,30,9,9,13,25,9,31,53,70,0
