"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,13,69,13,34,30,18,77,50,112,24,0
10,17,61,15,39,21,18,119,44,94,10,0
20,24,76,27,41,16,15,106,38,65,16,1
30,30,88,29,38,26,26,105,58,84,10,0
40,25,70,30,45,24,13,95,35,76,13,0
50,14,30,22,50,30,19,96,22,83,13,1
60,24,12,32,50,35,19,148,34,111,17,0
70,8,21,19,60,25,20,125,18,58,8,0
80,14,6,21,48,10,13,101,15,57,23,0
90,12,6,12,55,25,15,105,22,74,12,0
