"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","PINUSX","POACEAE","POPULUS","QUERCUS","ULMUS","RUMEOXYR"
1,21,114,9,51,43,55,81,15,277,25,1
10,9,104,12,25,19.5,51,47,5,189,20,2
20,22,53,14,50,27.5,99.5,38,23,208,19,1
40,40,17,29,81,38,177.5,65,18,216,12,0
60,21,11,13,38,20.5,92,26,9,122,4,0
100,17,22,21,46,32,131.5,39,11,203,7,0
