"depths","AMBROSIA","ARTEMISIA","ASTERX","CHENOAMX","CYPERACE","FRAXINUX","PINUSX","POACEAE","QUERCUS","SALIX"
2,50,2,0,18,16,11,12,10,6,4
5,47,3,4,32,43,4,11,29,9,2
10,28,7,5,18,14,2,19,17,2,1
15,36,5,18,16,36,3,29,30,12,0
20,23,13,13,12,27,0,31,11,2,2
25,10,6,12,18,37,2,30,32,7,5
50,15,6,5,6,47,1,16,28,8,3
100,13,15,11,15,49,1,25,34,9,7
150,38,9,8,8,19,3,19,58,1,2
190,92,18,18,25,43,1,13,99,15,5
