"depths","AMBROSIA","ASTERX","BETULA","CHENOAMX","JUGLANSX","PINUSX","POACEAE","POPULUS","QUERCUS","ULMUS","RUMEOXYR"
15.5,36,4,4,9,9,17,9,4,87,11,0
25.5,9,4,9,5,7,38,7,2,149,2,0
