"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,10,64,4,30,3,20,55,25,65,19,1
10,7,59,9,28,11,13,86,73,45,7,2
20,16,34,11,39,14,29,166,13,43,4,0
30,8,13,17,32,9,42,157,12,38,12,0
40,19,12,10,85,4,27,51,4,89,7,1
50,16,10,20,60,11,14,113,20,102,4,0
60,17,6,15,39,19,16,108,16,79,2,0
70,17,18,23,36,11,16,122,26,83,2,0
80,20,35,14,41,17,8,92,21,54,5,0
90,33,12,15,39,13,7,94,28,106,2,0
100,24,6,10,34,8,11,58,12,150,8,0
110,31,15,24,49,12,13,65,28,110,9,0
120,23,7,16,36,8,11,65,27,118,4,0
130,32,18,27,40,19,7,50,29,100,4,0
