"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
1,15,27,10,83,14,4,128,16,44,17
10,17,43,8,79,9,9,166,9,40,9
20,0,17,7,52,10,12,176,12,21,6
30,17,29,14,62,6,9,163,10,31,10
40,11,10,3,93,13,18,121,20,27,12
50,9,3,11,117,6,33,104,5,37,14
60,12,4,11,105,9,19,114,9,35,12
70,7,6,7,117,14,24,70,8,37,19
80,5,3,7,115,5,4,49,11,60,29
