"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
53,28,32,16,34,21,3,81,32,101,9
63,15,27,9,38,26,10,69,30,82,5
73,26,32,13,41,40,6,82,41,114,5
83,16,17,13,27,18,2,53,34,74,4
97,13,11,11,26,16,4,55,21,98,5
107,20,13,12,16,8,3,38,31,101,4
113,15,9,9,17,12,3,63,27,82,3
121,14,14,7,26,9,5,66,44,101,3
145,13,9,3,17,11,3,54,27,113,5
