"depths","ACERX","ALNUSX","AMBROSIA","BETULA","CUPRESSA","PINUSX","POACEAE","POPULUS","QUERCUS","TSUGAX","RUMEOXYR"
10,7,10,19,103,10,115,5,13,24,18,1
20,9,9,24,92,11,100,11,10,26,18,1
30,6,22,40,77,28,89,18,17,12,20,1
40,3,11,45,84,13,96,19,7,11,30,1
50,9,15,35,98,25,78,15,3,4,17,1
60,6,15,29,103,15,68,14,3,13,36,1
70,2,8,14,127,27,112,10,4,13,39,0
80,5,4,7,106,24,111,6,4,11,40,1
90,8,3,1,125,38,67,1,6,15,48,0
100,12,16,3,131,15,133,7,5,29,53,0
110,4,7,3,98,24,91,5,0,9,35,0
120,6,7,5,120,41,76,1,2,7,48,0
140,1,6,0,91,11,123,4,3,12,53,0
150,2,5,3,91,30,127,7,1,16,38,0
170,3,7,4,84,23,102,5,3,19,61,0
180,4,7,1,90,15,119,4,3,16,62,0
200,5,11,3,111,15,177,3,4,6,36,0
210,3,10,2,83,13,149,2,1,17,37,0
250,1,2,3,79,18,138,3,2,14,52,0
280,5,6,8,91,11,156,7,4,9,62,0
310,12,7,4,150,8,174,3,0,18,66,0
350,8,6,6,101,12,127,1,1,13,59,0
380,6,11,3,89,29,166,6,0,6,82,1
390,3,6,1,90,22,141,6,1,12,79,0
410,7,4,1,90,24,116,2,3,9,63,0
430,2,3,4,107,10,100,2,1,13,61,0
450,5,3,2,124,40,98,5,6,10,63,1
470,5,11,6,91,25,122,7,5,16,43,0
510,2,9,1,82,28,170,7,4,13,44,0
530,6,7,1,95,11,135,0,0,13,37,0
550,5,10,4,110,13,136,3,1,15,45,0
590,10,10,3,113,12,104,6,3,9,41,0
630,4,7,1,124,9,106,4,2,7,42,0
670,3,8,1,117,16,117,3,0,8,52,0
690,9,7,3,112,28,139,5,3,16,43,0
710,5,14,1,112,22,127,4,6,12,33,0
750,4,21,1,106,34,136,7,4,9,33,0
790,7,8,1,126,42,179,3,4,21,47,0
830,4,6,2,157,29,109,4,5,17,40,0
860,4,10,3,120,18,121,5,2,10,61,0
900,10,11,3,95,19,140,5,3,11,54,0
960,12,9,3,203,16,224,8,3,13,93,0
1000,11,10,5,136,21,179,6,5,10,51,1
1020,9,9,0,126,19,175,6,0,17,34,0
1040,4,10,1,156,11,118,4,1,17,45,0
1100,8,3,2,89,7,133,4,0,10,33,0
1120,7,11,4,112,21,163,6,1,15,30,0
1140,3,14,2,73,7,135,6,1,19,28,0
1160,10,8,6,102,8,142,4,1,22,16,0
1180,6,14,4,143,19,120,4,4,19,19,0
1200,8,11,0,145,21,95,3,7,22,31,0
1220,6,9,3,136,20,155,4,12,27,29,0
1240,3,12,1,153,15,187,5,7,28,25,0
1260,13,7,2,107,13,213,3,11,19,18,0
1280,5,14,2,83,21,134,6,5,25,20,0
1300,7,12,6,80,17,162,6,4,25,28,0
1320,5,7,1,75,12,152,0,1,20,27,0
1360,8,11,3,111,24,123,7,3,14,20,0
1400,6,14,2,86,14,146,4,3,17,9,0
1440,11,25,2,134,20,206,5,28,18,15,0
1480,4,17,2,64,16,141,3,8,6,10,0
1520,10,18,1,75,14,170,2,2,23,23,0
1560,6,8,1,84,17,117,6,1,16,39,0
1600,7,16,3,169,22,341,14,1,21,52,0
1640,5,11,4,122,10,181,7,8,17,27,0
1680,4,12,0,93,15,195,3,12,16,24,0
1720,2,15,0,88,7,300,7,4,10,15,0
1760,4,24,2,145,14,291,5,12,23,18,0
1800,2,8,0,36,3,148,1,2,11,13,0
1840,1,11,1,59,11,166,2,2,12,29,0
1880,3,10,1,55,26,161,2,5,7,26,0
1920,2,12,1,71,12,194,3,6,13,17,0
1960,4,8,1,65,14,159,3,0,7,11,0
