"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","FRAXINUX","PICEAX","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
0,7,25,9.5,66.5,2,7,1,112.5,6,37.5,0
25,12,16,4,18,8.5,4,4,228.5,8,19,1
40,13,4,3,25,7.5,3,1.5,213,11,21,0
100,17,11.5,4.5,41,6,2,8.5,249.5,8,20.5,0
180,20,3,11.5,20.5,9.5,3,3.5,233,7,46,0
200,22,7,8.5,42.5,5,5,5.5,172,11,68,0
225,8,7,7,20,12.5,3,2,325.5,20,58,0
250,26,6,10,38.5,9,3,5,116.5,23,59,0
