"depths","AMBROSIA","ARTEMISIA","CHENOAMX","CYPERACE","FABACEAE","FRAXINUX","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,117,11,10,47,14,5,23,28,29,3,0
30,63,23,23,87,13,11,28,54,23,9,0
36,50,20,16,83,27,5,36,57,41,5,2
42,70,27,13,65,24,7,26,48,38,8,1
44,60,19,8,78,24,13,39,63,53,9,0
46,65,33,16,84,27,14,22,56,33,7,1
