"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,10,41,11,35,24,6,262,42,63,7,0
10,22,25,4,46,16,7,221,17,55,10,0
20,17,21,9,48,12,17,258,19,50,7,0
30,11,9,8,40,8,15,213,16,46,6,0
40,8,11,3,41,3,12,218,7,31,3,0
50,17,6,7,35,6,8,224,7,41,1,0
60,24,6,7,68,1,8,220,11,86,8,0
70,28,6,6,36,8,17,154,16,71,5,0
80,15,6,4,33,13,10,169,4,66,5,0
90,25,4,4,30,3,4,166,6,67,7,1
100,13,3,4,30,4,6,222,11,47,7,0
110,36,5,9,48,16,4,164,15,59,7,0
120,20,7,7,29,13,9,209,15,63,12,0
130,15,3,2,25,11,2,203,1,64,12,0
140,27,4,4,39,3,11,164,14,89,9,0
150,23,5,14,46,10,6,133,8,98,0,0
160,33,7,2,40,11,15,165,9,65,10,0
