"depths","ALNUSX","ARTEMISIA","BETULA","CYPERACE","PINUSX","POACEAE","POPULUS","QUERCUS","SALIX","URTICACX","RUMEOXYR"
1020,69,18,160,25,212,59,95,145,22,33,1
1040,37,15,73,21,194,38,34,64,9,10,0
1060,41,14,106,15.5,222,16,47,44,7,21,0
1080,22,9,78,23,317,16,44,39,1,10,0
1330,51,9,92.5,28.5,363,20,25,55,6,13,1
1370,59,19,170,15,103.5,15,16,100,1,15,0
1410,83,38,72,53,106.5,74,45,224,15,14.5,0
1430,61,36,79,30,66.5,41,64,169,17,9,0
1470,15,24,34,27.5,57,43,22,128,21,26,0
