"depths","ALNUSX","BETULA","CHENOAMX","CYPERACE","FRAXINUX","JUGLANSX","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
45.5,2,0,4,1,2,0,3,11,22,2,0
55.5,3,9,2,2,5,9,26,16,187,13,0
65.5,5,10,5,2,5,5,31,13,215,15,0
85.5,5,11,3,1,3,9,33,13,177,6,0
105.5,2,11,3,13,3,10,34,12,159,9,2
125.5,3,12,2,6,1,6,32,15,138,6,0
