datasetID,handle,site,long,lat,state,pi,pre,settlement,notes
2354,SEDIVY,Sedivy Lake,-95.833333,47.208889,minnesota,"McAndrews, John H.",7,,
3620,SEIDEL02,Seidel,-87.515556,44.45,wisconsin,"Maher, Louis J., Jr.",3,,
2375,SHAGAWA,Shagawa Lake,-91.866667,47.916667,minnesota,"Bradbury, J. Platt",14,,
13029,SHARKEY,Sharkey Lake,-93.4148,44.5939,minnesota,"Umbanhowar, Charles E., Jr.",,,nothing
2383,SILVERMN,Silver Lake (US:Minnesota),-94.2,44.9,minnesota,"McAndrews, John H.",7,,
2394,SISEEBA,Siseebakwet South,-93.683333,47.133333,minnesota,"Cushing, Edward J.",,,nothing
2581,SOLUM,Solum Lake,-96.25,46.662222,minnesota,"McAndrews, John H.",5,,
2584,SOSTANCH,South Stanchfield Lake,-93.466667,45.725,minnesota,"McAndrews, John H.",4,,
10970,SOUHERON,South Heron Lake,-95.27,43.75,minnesota,"Cushing, Edward J.",,,nothing
2585,SPECTACL,Spectacle Lake,-93.408333,45.572222,minnesota,"McAndrews, John H.",5,,
2586,SPIRIT,Spirit Lake (US:Michigan),-86.958333,46.47,michigan:north,"Davis, Margaret B.",10,,
2600,STCATHER,St. Catherines Lake,-93.4325,44.626944,minnesota,"McAndrews, John H.",6,,
2605,STONE,Stone Lake,-93.522222,45.4,minnesota,"McAndrews, John H.",4,,
2607,STONTAM1,Stone Lake Tamarack Swamp,-93.691667,44.891667,minnesota,"Swain, Patricia C.",,,nothing
3780,STONTAM2,Stone Lake Tamarack Swamp,-93.691667,44.891667,minnesota,"Swain, Patricia C.",,,nothing
3781,STWDARK2,Stewart's Dark Lake,-91.45,45.3,wisconsin,"Peters, M. A.",,,nothing
2613,SUNFISH,Sunfish Lake,-93.1,44.874722,minnesota,"McAndrews, John H.",5,,
2624,TAMARACK,Tamarack Creek,-91.45,44.15,wisconsin,"Davis, Anthony M.",3,,
2638,TERHELL,Terhell Pond,-95.770556,47.187778,minnesota,"McAndrews, John H.",5,,
3784,THIRDLK,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",4,,
2640,THOMPSON,Thompson,-96.083333,47.2,minnesota,"McAndrews, John H.",4,,
3786,THRDBGN,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",7,,
3788,THRDBGW,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",11,,
2648,TOENJES,Toenjes Lake,-93.981389,45.409722,minnesota,"McAndrews, John H.",7,,
2881,TWINMN1,Twin Lakes,-93.167778,45.848889,minnesota,"McAndrews, John H.",7,,
12015,UNION,Union Lake,-95.3484,45.8207,minnesota,"Cushing, Edward J.",8,,
2888,UPGRAVEN,Upper Graven Lake,-95.306944,46.184444,minnesota,"Almquist-Jacobson, Heather",3,,pretty rough record
3831,VESTABRG,Vestaburg Bog,-84.883333,43.416667,michigan:south,"Gilliam, Jeanne A.",9,,
CLH6,WARNER,Warner,-92.039,46.121,wisconsin,M. Tweiten,7,,
3837,WEBERLK,Weber Lake,-91.66,47.471667,minnesota,"Fries, Magnus",,,nothing
2948,WENTZEL,Wentzel's Pond,-94.95,46.95,minnesota,"Almendinger, John C.",5,,
13051,WESTOLAF,West Olaf Lake,-96.198,46.6043,minnesota,"Nelson, David M.",5,,
2952,WHITLIL1,White Lily Lake,-93.102778,46.086111,minnesota,"McAndrews, John H.",5,,
2961,WINTERGR,Wintergreen Lake,-85.383333,42.4,michigan:south,"Bailey, Robert E.",15,,
3031,WOLSFELD,Wolsfeld Lake,-93.577,45.008,minnesota,"Grimm, Eric Christopher",9,,
3032,WOLVERIN,Wolverine Lake,-85.661111,46.429167,michigan:north,"Futyma, Richard P.",4,,
3035,WOODLAKE,Wood Lake,-90.083333,45.333333,wisconsin,"Heide, Kathleen M.",4,,
3047,YELLOWDG,Yellow Dog Pond,-87.95,46.75,michigan:north,"Brubaker, Linda B.",,,nothing
12012,ZIEBELL,Ziebell Lake,-95.2663,46.0572,minnesota,"Cushing, Edward J.",10,,
