"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,18,125,11,27,7,10,64,53,181,18,0
10,15,82,15,39,8,17,60,34,178,14,0
20,17,29,13,41,12,22,59,29,178,23,0
30,35,18,14,38,6,15,77,14,205,15,1
40,17,23,19,58,16,15,89,32,235,15,1
50,14,17,13,38,4,12,71,5,177,5,0
60,11,23,16,30,20,5,86,18,169,10,0
70,20,24,13,34,5,4,58,15,208,5,0
80,27,17,15,35,15,13,107,32,221,7,0
90,20,9,19,28,17,6,82,19,140,6,0
