"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,6,44,21,23,14,30,7,54,41,73,0
10,5,38,23,21,20,26,12,80,31,72,0
20,5,19,19,35,16,31,15,77,15,53,1
30,16,15,15,39,7,28,10,80,36,56,0
40,15,13,19,39,5,36,10,101,31,58,0
50,10,7,31,41,8,33,17,97,35,56,0
60,20,9,29,37,9,80,11,73,53,64,0
70,16,6,27,35,7,53,20,75,51,52,0
