"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,277,14,8,13,31,28,45,58,224,39,2
10,198,3,23,17,33,41,45,121,173,17,17
20,86,18,25,14,15,26,58,77,173,15,0
30,21,18,6,25,20,41,83,19,148,13,0
40,33,26,9,33,5,10,67,34,155,10,0
50,15,15,15,19,2,31,69,62,185,14,0
55,14,13,5,50,5,18,84,35,295,23,0
