"depths","ACERX","ALNUSX","BETULA","CYPERACE","OSTRYCAR","PICEAX","PINUSX","QUERCUS","TSUGAX","URTICACX"
0,8,8,70,9,2,20,334,13,10,3
15,11,13,136,6,8,27,375,15,14,2
25,3,11,100,15,2,9,449,16,9,5
