"depths","ASTERX","BETULA","CHENOAMX","CYPERACE","JUGLANSX","PINUSX","POACEAE","POPULUS","QUERCUS","URTICACX","RUMEOXYR"
15.5,4,4,9,2,9,17,9,4,87,12,0
25.5,4,9,5,4,7,38,7,2,149,3,0
