"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","PINUSX","POACEAE","POPULUS","QUERCUS","URTICACX","RUMEOXYR"
0,9,18,6.5,52,7,110,19,24,55,8,2
50,24,7,10,31.5,24.5,359.5,13,6,23,11,0
100,25,9,13,39,12,237,8,7,25,7,0
200,10,2,4,12,9,171.5,7,1,13,3,0
300,33,1,10,29,7,252,12,7,40,9,0
