"depths","ARTEMISIA","ASTERX","CHENOAMX","CORYLUS","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,8,17,80,5,38,5,22,98,117,11,1
20,13,4,54,1,42,1,14.5,69,59,6,0
40,2,6,30,0,30,3,6.5,71,35,3,0
50,6,16,21,17,43,1,12,247,82,7,0
60,15,17,29,0,51,1,13,400,69,4,0
70,3,12,25,3,32,2,8.5,303,42,2,0
90,10,15,30,8,18,6,11,151,42,6,0
110,12,17,36.5,3,30,10,17,98,55,9,0
