"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","PICEAX","PINUSX","POACEAE","QUERCUS","URTICACX"
0,6,10,5,11,8.5,8.5,92,4,30,7
30,18,17.5,17,45,9,13,239.5,21,45,13
50,9,11,14,37,7,12,208,12,18,5
60,7,5,13.5,28,9.5,8,211,12,43.5,10
80,9,9,7.5,34,13,8.5,101,16,54.5,8
100,7,1,26,28,9,5.5,219,10,46,9
120,9,1,5,26,7,7.5,137.5,16,49,5
150,13,5,9.5,26,16,10.5,169,20,55,8
200,12,21,21,41,11,14,82,11,53.5,4
250,23,13,34.5,60,11,8,98.5,29,78.5,9
