"depths","ALNUSX","ARTEMISIA","BETULA","CUPRESSA","CYPERACE","LARIXPSEU","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
130,14,7,44,7,5,11,36,164,66,14,1
150,25,11,77,8,16,26,80,343,96,19,0
190,12,11,39,15,7,17,54,331,71,4,0
230,13,7,28,9,14,16,34,199,98,4,0
270,21,17,28,3,19,21,39,224,117,4,0
