"depths","AMBROSIA","ARTEMISIA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","POLYPOD","QUERCUS","URTICACX","RUMEOXYR"
1,96,12,25,28,24,49,73,4,183,36,1
10,100,7,23,19,15,38,50,6,159,30,1
20,187,16,26,20,28,38,103,20,163,34,1
30,143,15,29,19,19,40,71,13,182,38,0
40,135,15,21,13,19,31,93,14,161,26,0
50,178,21,30,26,16,39,85,11,174,31,3
60,202,17,23,27,19,39,80,24,168,49,0
80,166,17,21,22,23,30,69,16,155,34,0
90,312,7,24,22,25,24,74,21,196,44,0
100,133,19,20,21,23,33,51,18,179,16,0
