"depths","ALNUSX","ARTEMISIA","BETULA","CUPRESSA","FRAXINUX","PICEAX","PINUSX","POACEAE","QUERCUS","URTICACX"
2,32,5,26,14,2,25,174,2,8,6
42,37,5,30,26,4,13,183,1,8,0
62,39,2,50,54,3,10,236,6,3,0
82,24,4,48,72,2,24,184,2,7,2
102,54,5,34,19,4,10,164,4,4,3
