"depths","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","FRAXINUX","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX"
20,7,4,26,7,9,4,18,45,77,29
70,7,6,8,11,2,6,18,32,78,13
100,8,7,17,11,2,23,18,29,105,15
120,10,1,5,5,5,18,15.5,28,75,19
130,7,12,4,9,13,20,14,22,75,17
153,9,5,4,7,7,14,21.5,23,117,7
173,9,11,4,18,2,6,24,29,90,6
193,15,8,5,26,4,8,30,69,73,5
233,17,12,8,28,7,5,34.5,74,86,6
285,18,3,4,27,4,7,19,62,52,7
