"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX"
1,20,67,14,99,13,20,39,170,96,29
10,13,33,11,98,5,27,46,184,70,21
20,13,14,14,87,5,31,64,83,61,19
30,11,20,15,103,14,33,86,108,70,19
40,10,9,16,103,18,28,94,88,52,13
50,11,10,8,93,20,32,84,55,44,12
60,8,9,7,99,21,23,89,107,47,6
70,12,16,25,73,21,23,119,124,39,4
80,9,14,22,75,17,33,122,124,42,10
90,16,12,12,59,31,28,139,163,43,13
100,6,17,28,78,18,26,78,153,49,23
