"depths","ALNUSX","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
2,6,20,21,15,57.5,56,38,122,56,81,2
10,3,20,15,11,50,52.5,36.5,75,47,30,1
20,1,9,7,0,34,24,34,38,22,1,0
30,3,29,23,13,20,67,35.5,88,43,6,0
40,2,23,17,9,5,59.5,24.5,83,42,6,0
50,8,30,21.5,8,12.5,46.5,40,86,31,1,0
60,5,20,12,7,4,35.5,23,63,14,6,1
70,1,23.5,22,17,2,36,26.5,79,22,3,0
