"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,15,295,35,20,16,7,75,97,178,33,2
10,12,229,21,19,26,19,66,77,134,23,1
20,20,31,17,27,15,24,106,40,135,9,0
30,17,32,35,45,27,10,132,89,136,8,0
40,23,19,30,29,28,6,102,58,121,13,0
50,13,28,0,35,30,10,74,80,150,13,0
60,16,16,36,15,23,17,125,45,116,8,0
70,20,24,65,32,20,13,88,110,153,21,0
