"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CORYLUS","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS"
1,35,25,7,68,8,7,7,255,18,43
10,38,19,11,60,7,9,12,325,11,24
20,34,4,7,78,8,6,14,320,10,18
30,25,4,11,79,10,9,7,360,8,22
40,24,2,10,66,0,5,9,258,3,14
50,23,5,7,45,1,5,10,231,7,16
60,20,4,4,69,7,7,6,270,7,25
70,23,2,8,69,3,12,8,196,6,28
80,15,3,9,52,5,8,9,227,6,19
90,22,5,9,84,0,7,17,162,10,36
