"depths","AMBROSIA","ARTEMISIA","ASTERX","CHENOAMX","CYPERACE","FRAXINUX","PICEAX","PINUSX","POACEAE","POPULUS","QUERCUS","RUMEOXYR"
1,68,1,37,30,29,2,4,59,3,0,54,0
12,11,4,2,29,52,3,14,88,6,5,54,0
