"depths","ABIES","ALNUSX","ARTEMISIA","ASTERX","BETULA","LARIXPSEU","OSTRYCAR","PICEAX","PINUSX","QUERCUS","POACEAE"
120,30,40,30,15,188,35,17,89,534,42,0
140,16,43,24,24,258,35,5,82,461,24,0
160,28,28,23,46,379,35,17,93,382,37,0
180,24,49,0,24,254,41,18,64,412,49,20
200,24,53,0,24,193,45,17,62,484,41,5
220,30,20,20,15,100,32,0,50,630,40,20
240,38,28,0,19,153,17,10,43,633,34,17
