"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,3,128,8,16,13,106,47,56,110,7,1
4,4,120,13,19,19,84,73,56,101,5,1
13,5,108,8,11,36,101,68,43,96,3,3
22,2,13,9,11,5,64,53,7,221,2,0
27,8,22,16,9,4,253,76,13,114,10,0
32,12,37,22,22,9,45,63,40,164,14,1
