"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,13,39,8,63,29,25,65,29,85,46,1
20,13,43,10,68,32,40,52,33,80,28,0
30,7,32,20,61,19,31,103,16,61,34,0
40,9,12,26,117,17,46,71,15,55,27,0
50,11,9,11,63,10,50,87,13,62,21,0
60,8,8,17,100,8,25,86,15,67,24,0
70,3,6,19,77,15,29,98,17,62,14,0
95,13,6,9,75,8,24,85,5,59,10,0
115,7,10,20,39,30,38,126,18,51,16,0
135,10,10,19,56,21,42,91,11,75,20,0
155,12,12,16,53,13,44,94,30,79,12,0
165,9,7,9,48,16,41,58,15,70,26,0
195,15,12,12,72,19,29,48,16,100,19,0
215,8,2,5,37,17,17,93,15,135,17,0
235,7,4,18,32,23,24,59,22,172,9,0
255,13,9,18,37,20,17,86,39,128,12,0
