"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CORYLUS","CYPERACE","PICEAX","PINUSX","POACEAE","QUERCUS"
0,2,7,5,5,4,47,3.5,123,10,3
15,7,13,4,12,0,59.5,8,155,4,5
20,9,6,1,11,4,53,7,192.5,2,8
40,10,0,6,10,0,40.5,6,164.5,9,3
50,9,3,3,19,6,60,9.5,235,12,6
65,8,0,7,15,2,74,12.5,143.5,15,11
