"depths","AMBROSIA","ASTERX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","POLYPOD","QUERCUS","SPHAGNUM","ULMUS","RUMEOXYR"
0,102,24,16,13,15,17,120,50,1,34,0
1,166,19,17,12,12,46,122,51,0,74,1
3,63,24,21,8,12,17,65,42,0,102,0
5,122,32,16,30,12,53,161,41,2,76,0
10,146,62,8,28,9,32,845,52,9,46,0
13,144,66,11,22,24,41,1779,79,0,55,0
15,174,31,15,7,7,44,1032,47,0,57,1
20,185,75,10,17,12,63,27,65,2,21,2
23,73,7,3,5,1,34,4,25,0,7,1
25,142,8,28,20,5,60,66,59,500,17,0
27,114,3,18,6,4,25,46,32,48,21,0
30,111,177,37,19,9,72,126,90,435,35,0
35,29,4,266,8,27,44,13,116,6,12,0
40,19,3,72,19,15,22,4,73,0,17,0
45,16,10,219,51,26,33,12,130,0,7,0
50,7,0,83,20,16,0,5,78,1,19,0
