"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CORYLUS","OSTRYCAR","PINUSX","POACEAE","QUERCUS"
1,30,31,9,53,9,8,5,136,9,35
10,38,28,7,27,12,2,2,174,10,21
20,20,5,8,41,2,5,8,204,9,18
30,18,11,14,47,2,8,10,161,9,27
42,37,8,15,72,3,7,9,140,10,23
