"depths","RUMEOXYR","SALIX","SARCOBATUS","SPHAGNUM","THALICTRUM","TILIA","TSUGAX","ULMUS","URTICACX","XANTHIUM","AMBROSIA","POACEAE"
1295,2,12,0,0,1,0,0,23,2,0,88,28
1300,0,0,0,0,0,0,0,0,0,0,0,0
1305,0,3,0,0,0,0,0,6,0,0,76,26
1315,1,4,0,0,0,0,2,7,1,0,20,19
1325,1,6,0,0,0,2,0,10,0,0,14,25
1345,0,4,0,0,0,0,3,3,2,0,16,12
1365,0,2,0,0,0,0,1,4,0,0,9,12
1400,0,2,0,0,0,0,0,7,0,1,8,21
1440,0,2,0,0,1,1,0,3,0,0,16,28
