"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,8,633,6,4,21,5,38,183,200,21,2
10,7,216,18,20,14,9,63,67,169,17,2
20,13,190,13,19,26,5,48,127,187,14,4
30,6,106,6,16,17,13,27,103,190,14,1
40,24,92,14,22,12,16,49,76,212,13,3
50,11,64,21,25,19,20,61,42,144,11,1
60,17,20,22,26,19,15,82,34,144,20,0
70,14,21,29,16,10,17,69,34,144,18,0
80,11,22,15,36,13,24,60,22,147,17,0
90,12,24,42,25,14,23,73,35,129,16,1
100,13,35,12,35,16,9,91,39,160,13,0
110,8,41,26,34,7,7,113,37,112,4,1
120,20,48,28,23,21,17,106,51,130,9,0
130,13,33,41,34,32,3,141,96,132,8,0
140,17,16,20,21,15,5,104,67,134,13,0
150,18,23,35,38,11,7,79,88,146,11,0
160,10,2,38,27,29,8,110,69,133,8,0
170,18,24,55,36,17,6,101,73,155,7,0
