"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
180,13,14,4,38,3,2,101,7,27,2,0
184,7,12,2,27,7,0,58,8,26,3,0
190,12,27,4,32,6,9,88,13,45,2,0
194,9,19,9,46,6,3,105,8,37,0,0
200,14,28,4,34,3,11,94,11,27,3,0
204,14,24,9,43,9,11,101,8,31,2,0
210,18,22,15,47,3,14,148,11,20,1,0
214,19,7,5,22,4,9,113,2,15,2,0
220,15,7,5,28,5,14,107,7,18,3,0
224,28,20,15,95,3,25,208,14,80,7,0
230,9,5,3,44,5,8,83,7,24,5,0
234,16,4,13,64,2,8,89,11,32,2,0
240,13,3,7,47,3,7,103,9,48,3,0
244,17,9,11,41,2,3,92,12,39,1,0
246,46,9,13,69,9,3,198,32,100,6,0
248,41,12,15,73,15,12,176,21,100,5,0
250,17,2,6,32,8,5,92,12,52,5,1
254,11,4,7,28,2,5,78,16,37,0,0
260,10,8,8,25,6,4,87,4,41,6,1
264,25,6,8,24,4,1,93,13,45,5,0
270,5,7,11,22,8,7,60,20,42,3,0
274,41,9,17,31,20,14,161,37,136,7,0
280,11,5,14,21,6,9,70,16,58,4,0
284,22,3,13,32,6,10,60,14,43,3,0
290,18,3,11,33,7,6,82,23,56,5,0
294,15,7,4,21,8,13,67,11,63,4,0
300,18,3,6,20,8,5,38,8,66,6,0
310,22,8,7,29,14,6,46,19,53,4,1
320,16,6,11,29,10,5,39,16,56,4,0
330,15,2,10,19,7,13,47,10,59,4,0
340,23,5,11,30,10,11,40,13,94,3,0
350,41,5,6,42,5,10,41,21,63,6,0
370,25,6,16,48,9,10,44,19,109,6,0
