"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,160,11,6,3.5,39,13,20,24,54,132,0
20,184,16,10,6,29,12,5,21.5,47,93,0
30,180,16,9,4,24,22,9,18,67,105,0
40,60,49,33,38,11,59,55,50,71,223,0
60,48,36,22,22,4,38,25,44.5,58,147,0
80,74,39,20,19,9,30,29,40.5,81,217,1
100,49,27,18,15,5,25,5,32.5,77,107,0
120,19,41,21,11,9,33,12,34.5,58,71,0
