"depths","ALNUSX","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,4,91,16,12,12,73,0,37,74,18,0
10,12,43,22,25,17,150,11,62,96,29,0
20,17,23,37,23,21,54,11,63,86,31,0
30,10,15,33,21,44,35,11,53,73,36,0
40,18,20,35,31,35,35,24,63,52,33,0
50,6,16,25,24,34,50,14,51,94,35,0
60,14,17,39,12,33,42,14,69,77,39,0
70,10,16,22,16,36,45,14,77,69,31,0
80,14,23,22,24,18,58,28,67,111,38,0
90,7,11,30,23,25,48,20,77,70,39,0
100,10,22,37,24,34,43,19,81,80,29,0
120,16,12,34,27,19,70,12,51,114,33,1
140,12,15,30,25,20,56,14,52,111,30,0
160,22,9,30,18,27,35,6,56,104,25,1
