"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
2,94,14,7,4,34,41.5,18.5,49,61,29,1
20,109,7,8,7,32,50,22.5,72,51,11,1
30,99,12,10,8,10,39,27,46,40,16,1
40,102,25,17,24,7,52,48.5,56,91,18,0
45,44,43,34,27,10,59,65,78,119,26,0
50,52,43,24,22,9,63,44,70,92,26,1
60,37,31,24,12,7,39,51.5,41,71,8,1
70,28,17,18,9,9,35,36.5,72,42,10,0
80,32,25,20,7,18,53.5,40.5,64,50,23,0
100,24,28,14,15,5,41.5,35.5,52,66,13,0
119,31,26,20,10,9,40.5,23.5,52,42,17,1
