"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
1,9,42,8,64,9,5,82,13,38,21
10,3,53,10,41,8,4,76,18,32,13
20,21,40,8,43,9,13,68,20,34,17
30,10,5,12,39,9,9,156,14,40,16
40,12,4,5,64,7,15,136,11,36,18
50,8,13,11,76,6,23,123,18,32,11
60,13,8,15,68,8,18,107,20,37,9
70,9,9,9,76,20,17,139,19,27,9
80,12,22,26,77,24,30,96,23,68,17
