"depths","ACERX","AMBROSIA","ASTERX","CHENOAMX","CUPRESSA","CYPERACE","JUGLANSX","PINUSX","POACEAE","QUERCUS"
0,7,46,10,5,11,60,9,35,23,48
11,6,16,4,2,6,59,7,43,24,68
31,3,12,6,5,5,60,17,36,19,76
41,4,9,6,5,3,85,14,82,39,98
