"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
1,10,11,4,72,2,4,240,6,21,6
10,11,3,6,56,0,6,218,4,2,6
20,16,14,9,54,2,1,194,6,28,4
30,16,7,6,84,5,9,237,2,31,2
40,10,5,3,70,3,7,230,2,22,8
50,5,6,7,66,4,3,212,5,14,1
60,18,6,3,40,2,6,236,7,19,9
70,9,2,3,48,0,2,204,2,21,5
80,16,3,1,66,11,9,201,3,27,2
90,12,4,1,73,3,2,175,3,29,8
100,21,2,2,55,7,7,185,2,32,6
