"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
1,11,40,15,97,5,19,63,14,71,16
10,9,15,11,78,14,32,77,17,77,18
20,13,16,13,92,5,29,82,23,82,20
30,13,3,10,69,20,14,119,19,58,9
40,5,13,25,69,21,37,115,15,47,15
50,7,11,7,73,16,48,68,9,65,15
60,8,11,12,96,7,39,69,18,61,15
70,12,8,7,104,14,58,94,13,44,13
