"depths","ACERX","AMBROSIA","ARTEMISIA","ASTERX","CHENOAMX","CYPERACE","FRAXINUX","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,4,122,23,30,30,69,5,17,33,26,2
8,0,74,7,8,13,10,4,10,9,5,0
12,0,74,6,9,8,16,1,8,13,11,1
22,0,48,5,5,14,4,3,6,5,12,0
26,2,59,6,6,4,13,3,9,13,11,0
30,9,66,28,37,10,62,9,39,47,27,1
36,80,30,24,36,17,51,3,25,31,27,0
40,3,35,18,26,10,38,6,34,25,22,0
