"depths","AMBROSIA","ARTEMISIA","BETULA","OSTRYCAR","PICEAX","POACEAE","POPULUS","QUERCUS","TSUGAX","ULMUS"
1.5,29,9,187,4,5,6,10,104,12,4
4.5,24,4,114,3,3,3,3,36,8,3
10.5,28,5,102,1,5,3,7,24,11,3
16.5,5,4,86,5,1,4,9,42,4,14
20.5,5,5,192,4,3,4,3,32,18,2
22.5,54,6,199,4,4,10,10,36,31,6
24.5,11,9,206,7,7,0,7,32,30,7
26.5,5,4,86,5,2,4,9,42,4,14
28.5,3,4,171,6,3,6,6,52,20,9
31.5,6,5,137,4,2,2,7,43,13,6
34.5,5,8,182,6,5,3,3,47,20,12
37.5,8,11,113,8,3,6,9,41,16,13
40.5,12,13,105,5,9,7,5,25,31,6
43.5,5,7,157,3,4,2,7,29,10,13
46.5,9,8,164,2,5,1,14,38,1,18
49.5,1,8,117,8,9,3,16,26,5,8
52.5,3,5,103,3,1,2,5,32,18,5
55.5,3,10,97,6,5,9,7,26,14,11
58.5,3,3,92,9,5,6,7,23,12,3
61.5,6,7,161,4,3,4,12,43,25,7
64.5,2,3,85,7,8,7,11,31,10,3
67.5,4,11,91,2,3,3,5,36,10,2
70.5,6,4,191,6,7,5,4,20,15,9
73.5,6,5,72,8,4,1,9,28,6,7
76.5,6,4,82,8,3,3,8,36,5,8
79.5,4,4,95,3,6,6,8,30,4,9
82.5,1,1,130,3,3,5,6,16,12,13
88.5,0,6,99,7,2,7,17,32,6,8
94.5,3,5,88,3,3,1,8,31,5,7
100.5,3,0,148,7,4,2,12,52,6,9
106.5,4,11,152,3,8,7,11,51,2,7
