"depths","ABIES","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","LARIXPSEU","PICEAX","PINUSX","QUERCUS","POACEAE"
0,131,10,5,3,52,5,21,131,178,5,3
20,25,17,26,6,117,9,14,106,263,14,3
40,34,43,31,13,154,9,13,231,376,17,5
60,22,29,7,15,140,7,18,140,361,15,4
80,31,42,7,11,140,4,17,119,343,17,4
100,15,15,8,20,175,12,31,92,397,15,16
120,14,43,11,15,178,4,21,64,357,21,4
