"depths","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
15,60,20,34,16,15,29,39,57,99,9,0
45,47,13,33,20,15,24,45,47,102,13,0
75,52,62,28,5,25,7,35,51,56,16,0
120,33,19,65,4,24,25,26,40,63,14,0
165,20,11,22,4,22,64,61,32,78,8,0
210,24,24,25,2,13,30,55,53,70,10,0
270,7,23,36,6,19,36,67,62,83,7,0
330,40,24,58,9,24,43,38,49,101,9,0
