"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,13,31,20,67,41,11,113,36,74,17,0
10,15,45,16,60,43,14,76,39,76,22,1
20,19,32,16,66,49,12,110,19,61,9,0
30,14,32,22,68,58,23,105,31,98,18,0
40,11,16,27,83,45,18,112,32,52,9,0
50,9,14,15,46,49,36,80,22,81,22,0
60,12,6,32,56,48,27,83,24,91,13,0
70,10,5,18,51,52,27,76,25,119,17,0
80,17,14,32,64,102,32,88,43,108,9,0
