"depths","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
10,192,6,6,40,6,28,34,169,189,55,0
20,290,10,12,41,23,33,37,248,164,39,0
30,308,11,7,44,25,37,35,386,175,39,2
40,138,10,7,38,44,42,32,348,151,34,0
50,25,10,6,7,19,41,23,82,166,22,0
60,22,14,20,5,14,7,35,55,345,15,0
70,21,19,18,6,26,25,38,38,183,8,0
80,30,19,14,3,20,8,42,31,225,14,0
90,31,21,14,2,15,8,42,18,207,12,0
100,43,19,15,4,18,5,61,40,200,7,0
110,29,15,28,6,34,11,80,40,155,6,0
