"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
2,169,20,21,15,57.5,56,38,122,56,60,2
10,178,20,15,11,50,52.5,36.5,75,47,18,1
20,77,9,7,0,34,24,34,38,22,0,0
30,38,29,23,13,20,67,35.5,88,43,1,0
40,39,23,17,9,5,59.5,24.5,83,42,1,0
50,25,30,21.5,8,12.5,46.5,40,86,31,0,0
60,11,20,12,7,4,35.5,23,63,14,3,1
70,81,23.5,22,17,2,36,26.5,79,22,0,0
