"depths","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
20,86,7,4,26,7,4,18,45,77,26
70,91,7,6,8,11,6,18,32,78,12
100,83,8,7,17,11,23,18,29,105,15
120,76,10,1,5,5,18,15.5,28,75,18
130,44,7,12,4,9,20,14,22,75,17
153,19,9,5,4,7,14,21.5,23,117,4
173,10,9,11,4,18,6,24,29,90,6
193,38,15,8,5,26,8,30,69,73,5
233,32,17,12,8,28,5,34.5,74,86,5
285,17,18,3,4,27,7,19,62,52,7
